what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1280373596435
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1280373600477
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1280373600609
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1280373600756
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1280373601505
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280373620217
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1280373637022
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280373646308
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1280373646402
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1280373646426
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280373668965
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280373676968
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280373779004
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280373786713
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1280373835151
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1280373840655
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280373842709
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1280373847763
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280373847781
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280373852428
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1280373854352
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280373854394
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1280373872974
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1280373879787
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1280373879853
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1280373879873
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1280373880824
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1280373880840
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1280373882014
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280373890105
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.properties",1280373894026
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280373894068
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280373914966
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280373917192
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280373920330
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280373928722
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280374086036
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280374094744
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280374113035
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1280374115002
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280374115054
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.open.editor",1280374123425
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280374147109
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280374175878
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1280374177827
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.open.editor",1280374199122
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280374228930
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280374242135
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1280374243114
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1280374243173
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280374266562
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280374277750
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1280374279578
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1280374312833
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280374334196
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280374388562
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280374443650
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280375430084
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1280375434571
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280375436915
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.exit",1280375437124
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1280375437241
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1280375437249
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1280375437307
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1280375437313
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1280375437313
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1280375437313
stopped,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1280375437313
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1280375437325
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1280375437325
stopped,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1280375437325
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1280375437334
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.303.v201004290328,"org.eclipse.wst.xsd.ui",1280375437347
stopped,bundle,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui",1280375437356
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1280375437366
stopped,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1280375437389
stopped,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1280375437430
stopped,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1280375437431
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.resources",1280375437448
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1280375437449
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1280375437449
stopped,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1280375437449
stopped,bundle,org.eclipse.mylyn.resources.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.resources.ui",1280375437449
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.3.0.v20100608-0100-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1280375437460
stopped,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1280375437460
stopped,bundle,org.eclipse.mylyn.help.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.help.ui",1280375437480
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.bugs",1280375437492
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1280375437492
stopped,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1280375437492
stopped,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1280375437492
stopped,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1280375437492
stopped,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1280375437504
stopped,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1280375437505
stopped,bundle,org.eclipse.mylyn.wikitext.ui,1.3.0.v20100608-0100-e3x,"org.eclipse.mylyn.wikitext.ui",1280375437514
stopped,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1280375437514
stopped,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1280375437514
stopped,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1280375437544
